,URN,Postcode,YEAR,Grades_scaled
216,131237,SE162PA,2016,1.0899039414296376
217,136298,SE249JH,2016,-1.1332067869916407
218,131747,SE163TZ,2016,0.97961907500665
219,141031,SE151JF,2016,-1.3769943864529819
221,138961,SE164UN,2016,0.3527366763917723
224,100863,SE228TE,2016,0.5094572760454918
225,130418,E140AF,2016,0.5965242758531137
229,133307,E14AA,2016,0.3295188097764066
230,100978,E10LB,2016,-2.137379518106213
232,100969,E14SD,2016,0.5268706760070161
233,133289,E10LB,2016,1.1189262746988449
234,134810,E11JX,2016,1.3394960075448201
236,143379,E34FT,2016,2.552629538197685
238,100972,E26PR,2016,0.9215744084682355
239,100968,E12JP,2016,0.3004964765071993
240,139601,E16QL,2016,0.27147414323799196
241,131388,E12ND,2016,0.677786809006894
243,137789,E26NW,2016,0.14377587685348017
244,100966,E140RZ,2016,1.629719340236893
245,100979,E29LY,2016,-0.2335144556462146
246,138202,E12DA,2016,1.9605739395058563
248,100965,E33QW,2016,-0.14644745583859273
249,100967,E20PX,2016,0.120558010238114
250,131745,E20HW,2016,1.6065014736215277
251,100973,E15DJ,2016,0.7416359421991502
252,100982,E11HL,2016,0.7126136089299429
253,132797,E12HX,2016,1.7748310065829294
254,138980,E17RA,2016,-1.4002122530683476
255,136129,E11EJ,2016,0.32371434312256503
257,100977,E10RH,2016,0.43399920954555304
260,101090,SW177TJ,2016,1.5948925403138445
262,139842,SW170AQ,2016,0.8345074086606136
263,138267,SW116BF,2016,0.5442840759685407
265,137005,SW179BU,2016,-0.4656931217998729
266,132237,SW112HB,2016,1.7225908066983568
267,101071,SW111HS,2016,0.7590493421606743
268,101086,SW153EQ,2016,-2.3173179843752982
269,101094,SW128NA,2016,-2.288295651106091
270,136883,SW128JZ,2016,1.4033451407370767
271,138681,SW153DG,2016,0.8635297419298208
272,138682,SW185JU,2016,0.5268706760070161
273,141808,SW185JR,2016,0.09153567696890672
274,140985,SW115AP,2016,0.27147414323799196
275,101053,SW177DF,2016,-1.7600891856065182
276,135762,SW113DQ,2016,0.28308307654567505
277,101103,SW183TB,2016,0.4165858095840284
280,101072,SW156BH,2016,-0.45408418849219023
284,136110,SW155JJ,2016,2.244992805544088
285,143175,SW177DF,2016,0.4630215428147603
288,130912,W92DR,2016,-1.2609050533761528
289,131262,W25EZ,2016,0.5268706760070161
293,101161,SW1W8JF,2016,0.7010046756222598
294,101173,SW1P4AU,2016,0.7590493421606743
295,100544,EC3N2ET,2016,-1.5104971194913355
297,101172,W1H5YZ,2016,0.880943141891345
301,139369,W91RB,2016,1.2524290077371982
302,137646,NW80NL,2016,0.09734014362274825
303,101162,SW1P3PF,2016,-0.6572405213766412
304,101154,NW65SN,2016,0.20182054339189473
306,101157,W1G8BT,2016,-2.2302509845676766
307,101158,NW16XR,2016,-0.1406429891847516
308,138313,SW1P2DY,2016,0.49784834273780876
310,100536,W24AT,2016,0.28308307654567505
311,101181,W104AA,2016,1.1769709412372595
313,135242,NW16RX,2016,-2.1431839847600545
314,139791,IG110FU,2016,0.37015007635329694
318,101244,IG119UW,2016,0.4920438760839676
320,136028,RM109QH,2016,0.016077610468967926
321,101243,RM107UR,2016,-2.1257705847985298
323,133561,RM94UN,2016,-1.823938318798774
324,141178,RM66SB,2016,0.9564012083912843
325,136746,IG118PY,2016,-0.21610105568469037
326,101247,RM81JT,2016,0.04509994373817521
328,101245,RM81JU,2016,-0.1406429891847516
329,141683,RM95QT,2016,0.7010046756222598
331,136308,N145RJ,2016,-1.0403353205301773
333,101345,N113LS,2016,-1.6149775192604818
334,131288,NW119LH,2016,0.2598652099303093
335,137361,NW21TR,2016,-2.021290185029384
337,101388,NW42AT,2016,0.9389878084297596
339,131830,EN55SJ,2016,-0.19868765572316618
340,137386,NW74LL,2016,0.09734014362274825
341,131403,NW42TA,2016,0.677786809006894
342,140492,NW97DH,2016,-0.5063243883767633
343,131261,NW43ES,2016,-1.986463385106335
344,101369,NW117HY,2016,0.45141260950707723
345,134798,HA88DE,2016,0.8228984753529305
346,137388,N20SE,2016,-0.37862612199225104
348,101364,NW95PE,2016,0.7532448755068332
350,142627,NW27BZ,2016,-0.2683412555692634
351,135507,N129HB,2016,0.9099654751605524
352,101385,N31SA,2016,0.5616974759300649
353,101387,HA80QS,2016,0.38756347631482113
354,101393,NW44DQ,2016,0.15538481016116282
355,101361,N127NJ,2016,-2.3231224510291395
356,136658,EN48PU,2016,-0.07679385599249548
357,101367,NW71QS,2016,-0.2044921223770073
359,137539,NW41NA,2016,0.6313510757761626
362,135747,EN49GE,2016,0.7706582754683574
364,138051,NW117BN,2016,0.37015007635329694
365,101374,EN40NJ,2016,-1.9922678517601766
367,136418,N120QG,2016,0.5094572760454918
369,137645,NW42HP,2016,0.4165858095840284
375,134764,NW96HB,2016,0.18440714343037012
376,143082,N20SQ,2016,0.5907198091992721
377,138686,DA144JN,2016,0.050904410392016756
378,138650,DA67QB,2016,-0.9880951206456043
380,136334,DA51NE,2016,0.38756347631482113
381,136330,DA83BN,2016,-0.012944722800239363
383,137769,DA67AB,2016,0.7822672087760405
386,101485,DA83PB,2016,-1.52791051945286
387,137138,DA67DA,2016,-2.3057090510676153
388,133769,DA184DW,2016,1.0376637415450645
390,137423,DA159AG,2016,0.48043494277628457
391,137681,DA67QJ,2016,0.7416359421991502
392,135677,DA162PE,2016,-1.086771053760909
394,136369,DA162BL,2016,0.24245180996878468
396,131115,DA76LB,2016,0.2772786098918335
397,137965,DA159NU,2016,-0.5643690549151779
398,135951,DA14RS,2016,0.7648538088145159
399,136538,DA176HT,2016,0.637155542430004
400,139319,HA98NA,2016,-0.03035812276176357
402,137685,NW99JR,2016,1.2640379410448814
403,131059,NW67BT,2016,0.120558010238114
404,137994,NW104EP,2016,0.6603734090453698
405,101578,NW108HE,2016,-0.053575989377129735
